Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
C2_D2      1206               -236.22mil  -2066.929mil    -236.22mil  -2066.929mil   -179.134mil  -2066.929mil  T        180.00 4.7uF          
C3_D1      0603              -559.055mil    640.748mil   -559.055mil    640.748mil   -559.055mil     611.22mil  T         90.00 1.5nF          
C3_D2      0603              -559.055mil  -2312.008mil   -559.055mil  -2312.008mil   -559.055mil  -2341.535mil  T         90.00 1.5nF          
C4_D1      0603              -559.055mil    542.323mil   -559.055mil    542.323mil   -559.055mil    512.795mil  T         90.00 1.5nF          
C4_D2      0603              -559.055mil  -2410.433mil   -559.055mil  -2410.433mil   -559.055mil  -2439.961mil  T         90.00 1.5nF          
C5_D1      0603              -620.079mil    591.535mil   -620.079mil    591.535mil   -620.079mil    621.063mil  T        270.00 1uF            
C5_D2      0603              -620.079mil   -2361.22mil   -620.079mil   -2361.22mil   -620.079mil  -2331.693mil  T        270.00 1uF            
D1_D1      SMA               -114.173mil    549.213mil   -114.173mil    549.213mil   -114.173mil    627.953mil  T        270.00 B240A          
D1_D2      SMA               -114.173mil  -2402.559mil   -114.173mil  -2402.559mil   -114.173mil  -2323.819mil  T        270.00 B240A          
L1_D1      SRN6045TA         -354.331mil     381.89mil   -354.331mil     381.89mil    -453.74mil     381.89mil  T        270.00 47uH           
L1_D2      SRN6045TA         -354.331mil  -2570.866mil   -354.331mil  -2570.866mil    -453.74mil  -2570.866mil  T        270.00 47uH           
LED1_L1    LM301B           -4724.409mil   4330.709mil  -4724.409mil   4330.709mil  -4724.409mil   4361.221mil  T        360.00 2700K          
LED1_L2    LM301B           -4724.409mil   -393.701mil  -4724.409mil   -393.701mil  -4724.409mil   -363.189mil  T        360.00 2700K          
LED2_L1    LM301B           -4724.409mil   3543.307mil  -4724.409mil   3543.307mil  -4724.409mil   3573.819mil  T        360.00 5000K          
LED2_L2    LM301B           -4724.409mil  -1181.102mil  -4724.409mil  -1181.102mil  -4724.409mil  -1150.591mil  T        360.00 5000K          
LED3_L1    LM301B           -4724.409mil   2755.906mil  -4724.409mil   2755.905mil  -4724.409mil   2786.417mil  T        360.00 2700K          
LED3_L2    LM301B           -4724.409mil  -1968.504mil  -4724.409mil  -1968.504mil  -4724.409mil  -1937.992mil  T        360.00 2700K          
LED4_L1    LM301B           -4724.409mil   1968.504mil  -4724.409mil   1968.504mil  -4724.409mil   1999.016mil  T        360.00 2700K          
LED4_L2    LM301B           -4724.409mil  -2755.905mil  -4724.409mil  -2755.905mil  -4724.409mil  -2725.394mil  T        360.00 2700K          
LED5_L1    LM301B           -4724.409mil   1181.102mil  -4724.409mil   1181.102mil  -4724.409mil   1211.614mil  T        360.00 5000K          
LED5_L2    LM301B           -4724.409mil  -3543.307mil  -4724.409mil  -3543.307mil  -4724.409mil  -3512.795mil  T        360.00 5000K          
LED6_L1    LM301B           -4724.409mil    393.701mil  -4724.409mil    393.701mil  -4724.409mil    424.213mil  T        360.00 2700K          
LED6_L2    LM301B           -4724.409mil  -4330.709mil  -4724.409mil  -4330.709mil  -4724.409mil  -4300.197mil  T        360.00 2700K          
LED7_L1    LM301B           -3937.008mil   4330.709mil  -3937.008mil   4330.709mil  -3937.008mil   4361.221mil  T        360.00 2700K          
LED7_L2    LM301B           -3937.008mil   -393.701mil  -3937.008mil   -393.701mil  -3937.008mil   -363.189mil  T        360.00 2700K          
LED8_L1    LM301B           -3937.008mil   3543.307mil  -3937.008mil   3543.307mil  -3937.008mil   3573.819mil  T        360.00 5000K          
LED8_L2    LM301B           -3937.008mil  -1181.102mil  -3937.008mil  -1181.102mil  -3937.008mil  -1150.591mil  T        360.00 5000K          
LED9_L1    LM301B           -3937.008mil   2755.906mil  -3937.008mil   2755.905mil  -3937.008mil   2786.417mil  T        360.00 2700K          
LED9_L2    LM301B           -3937.008mil  -1968.504mil  -3937.008mil  -1968.504mil  -3937.008mil  -1937.992mil  T        360.00 2700K          
LED10_L1   LM301B           -3937.008mil   1968.504mil  -3937.008mil   1968.504mil  -3937.008mil   1999.016mil  T        360.00 2700K          
LED10_L2   LM301B           -3937.008mil  -2755.905mil  -3937.008mil  -2755.905mil  -3937.008mil  -2725.394mil  T        360.00 2700K          
LED11_L1   LM301B           -3937.008mil   1181.102mil  -3937.008mil   1181.102mil  -3937.008mil   1211.614mil  T        360.00 5000K          
LED11_L2   LM301B           -3937.008mil  -3543.307mil  -3937.008mil  -3543.307mil  -3937.008mil  -3512.795mil  T        360.00 5000K          
LED12_L1   LM301B           -3937.008mil    393.701mil  -3937.008mil    393.701mil  -3937.008mil    424.213mil  T        360.00 2700K          
LED12_L2   LM301B           -3937.008mil  -4330.709mil  -3937.008mil  -4330.709mil  -3937.008mil  -4300.197mil  T        360.00 2700K          
LED13_L1   LM301B           -3149.606mil   4330.709mil  -3149.606mil   4330.709mil  -3149.606mil   4361.221mil  T        360.00 2700K          
LED13_L2   LM301B           -3149.606mil   -393.701mil  -3149.606mil   -393.701mil  -3149.606mil   -363.189mil  T        360.00 2700K          
LED14_L1   LM301B           -3149.606mil   3543.307mil  -3149.606mil   3543.307mil  -3149.606mil   3573.819mil  T        360.00 5000K          
LED14_L2   LM301B           -3149.606mil  -1181.102mil  -3149.606mil  -1181.102mil  -3149.606mil  -1150.591mil  T        360.00 5000K          
LED15_L1   LM301B           -3149.606mil   2755.906mil  -3149.606mil   2755.905mil  -3149.606mil   2786.417mil  T        360.00 2700K          
LED15_L2   LM301B           -3149.606mil  -1968.504mil  -3149.606mil  -1968.504mil  -3149.606mil  -1937.992mil  T        360.00 2700K          
LED16_L1   LM301B           -3149.606mil   1968.504mil  -3149.606mil   1968.504mil  -3149.606mil   1999.016mil  T        360.00 2700K          
LED16_L2   LM301B           -3149.606mil  -2755.905mil  -3149.606mil  -2755.905mil  -3149.606mil  -2725.394mil  T        360.00 2700K          
LED17_L1   LM301B           -3149.606mil   1181.102mil  -3149.606mil   1181.102mil  -3149.606mil   1211.614mil  T        360.00 5000K          
LED17_L2   LM301B           -3149.606mil  -3543.307mil  -3149.606mil  -3543.307mil  -3149.606mil  -3512.795mil  T        360.00 5000K          
LED18_L1   LM301B           -3149.606mil    393.701mil  -3149.606mil    393.701mil  -3149.606mil    424.213mil  T        360.00 2700K          
