Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED6_L_2   LM301B            -629.921mil  -2598.425mil   -629.921mil  -2598.425mil   -629.921mil  -2567.913mil  T        360.00 2700K          
LED7_L_2   LM301B           -1417.323mil    -236.22mil  -1417.323mil    -236.22mil  -1417.323mil   -205.709mil  T        360.00 2700K          
LED8_L_2   LM301B           -1417.323mil   -708.661mil  -1417.323mil   -708.661mil  -1417.323mil   -678.149mil  T        360.00 5000K          
LED9_L_2   LM301B           -1417.323mil  -1181.102mil  -1417.323mil  -1181.102mil  -1417.323mil  -1150.591mil  T        360.00 2700K          
LED10_L_2  LM301B           -1417.323mil  -1653.543mil  -1417.323mil  -1653.543mil  -1417.323mil  -1623.031mil  T        360.00 2700K          
LED11_L_2  LM301B           -1417.323mil  -2125.984mil  -1417.323mil  -2125.984mil  -1417.323mil  -2095.472mil  T        360.00 5000K          
LED12_L_2  LM301B           -1417.323mil  -2598.425mil  -1417.323mil  -2598.425mil  -1417.323mil  -2567.913mil  T        360.00 2700K          
LED13_L_2  LM301B           -2204.724mil    -236.22mil  -2204.724mil    -236.22mil  -2204.724mil   -205.709mil  T        360.00 2700K          
LED14_L_2  LM301B           -2204.724mil   -708.661mil  -2204.724mil   -708.661mil  -2204.724mil   -678.149mil  T        360.00 5000K          
LED15_L_2  LM301B           -2204.724mil  -1181.102mil  -2204.724mil  -1181.102mil  -2204.724mil  -1150.591mil  T        360.00 2700K          
LED16_L_2  LM301B           -2204.724mil  -1653.543mil  -2204.724mil  -1653.543mil  -2204.724mil  -1623.031mil  T        360.00 2700K          
LED17_L_2  LM301B           -2204.724mil  -2125.984mil  -2204.724mil  -2125.984mil  -2204.724mil  -2095.472mil  T        360.00 5000K          
LED18_L_2  LM301B           -2204.724mil  -2598.425mil  -2204.724mil  -2598.425mil  -2204.724mil  -2567.913mil  T        360.00 2700K          
LED19_L_2  LM301B           -2992.126mil    -236.22mil  -2992.126mil    -236.22mil  -2992.126mil   -205.709mil  T        360.00 2700K          
LED20_L_2  LM301B           -2992.126mil   -708.661mil  -2992.126mil   -708.661mil  -2992.126mil   -678.149mil  T        360.00 5000K          
LED21_L_2  LM301B           -2992.126mil  -1181.102mil  -2992.126mil  -1181.102mil  -2992.126mil  -1150.591mil  T        360.00 2700K          
LED22_L_2  LM301B           -2992.126mil  -1653.543mil  -2992.126mil  -1653.543mil  -2992.126mil  -1623.031mil  T        360.00 2700K          
LED23_L_2  LM301B           -2992.126mil  -2125.984mil  -2992.126mil  -2125.984mil  -2992.126mil  -2095.472mil  T        360.00 5000K          
LED24_L_2  LM301B           -2992.126mil  -2598.425mil  -2992.126mil  -2598.425mil  -2992.126mil  -2567.913mil  T        360.00 2700K          
LED25_L_2  LM301B           -3779.528mil    -236.22mil  -3779.528mil    -236.22mil  -3779.528mil   -205.709mil  T        360.00 2700K          
LED26_L_2  LM301B           -3779.528mil   -708.661mil  -3779.528mil   -708.661mil  -3779.528mil   -678.149mil  T        360.00 5000K          
LED27_L_2  LM301B           -3779.528mil  -1181.102mil  -3779.528mil  -1181.102mil  -3779.528mil  -1150.591mil  T        360.00 2700K          
LED28_L_2  LM301B           -3779.528mil  -1653.543mil  -3779.528mil  -1653.543mil  -3779.528mil  -1623.031mil  T        360.00 2700K          
LED29_L_2  LM301B           -3779.528mil  -2125.984mil  -3779.528mil  -2125.984mil  -3779.528mil  -2095.472mil  T        360.00 5000K          
LED30_L_2  LM301B           -3779.528mil  -2598.425mil  -3779.528mil  -2598.425mil  -3779.528mil  -2567.913mil  T        360.00 2700K          
LED31_L_2  LM301B           -4566.929mil    -236.22mil  -4566.929mil    -236.22mil  -4566.929mil   -205.709mil  T        360.00 2700K          
